Sample label [TARA_station#_environmental-feature_size-fraction]	PANGAEA Sample ID	Sample label [TARA_station#_environmental-feature_size-fraction]	Mean_Date [YY/MM/DD hh:mm]*	Mean_Lat*	Mean_Long*	Mean_Depth [m]*	Mean_Temperature [deg C]*	Mean_Salinity [PSU]*	Mean_Oxygen [umol/kg]*	Mean_Nitrates[umol/L]*	NO2 [umol/L]**	PO4 [umol/L]**	NO2NO3 [umol/L]**	SI [umol/L]**	AMODIS:PAR8d,Einsteins/m-2/d-1	Okubo-Weiss	Lyapunov_exp.	grad_SST_adv	retention	Mean Depth MLD Sigma [m]*	Mean Depth Max Fluo [m]*	Mean Depth Max N2 [m]*	Mean Depth Max O2 [m]*	Mean Depth Min O2 [m]*	Mean Depth Nitracline [m]*	miTAG.SILVA.Taxo.Richness	miTAG.SILVA.Phylo.Diversity	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	OG.Shannon	OG.Richness	OG.Evenness	FC - heterotrophs [cells/mL]	FC - autotrophs [cells/mL]	FC - bacteria [cells/mL]	FC - picoeukaryotes [cells/mL]	minimum generation time [h]	category_latitude	category_temperature	category_redsea
TARA_100_SRF_0.22-3	TARA_B100000963	TARA_100_SRF_0.22-3	4/15/11 13:10	-12.99	-95.99	5.5	25.3	35.8	200.2	4.6	0.14	0.68	6.2	1.2	41.8	-0.02	0.05	0.34	8.97	35	61	51	52.0	239.0	146.0	2412.0	387.0	3504.0	3459.0	6.6	7.17	14283.0	0.749	464267.0	155789.0	620056.0	7780.0	14.0	tropical	tropical	False
TARA_102_SRF_0.22-3	TARA_B100000900	TARA_102_SRF_0.22-3	4/21/11 20:16	-5.25	-85.16	5.5	24.9	34.7	206.0	11.7	0.32	1.0	12.6	5.0	42.1	0.0	0.04	1.8	3.75	18	37	36	29.0	353.0	41.0	2293.0	357.0	3198.0	3093.0	6.62	7.13	13566.0	0.75	1032721.0	192335.0	1225056.0	19091.0	12.0	tropical	tropical	False
TARA_109_SRF_0.22-3	TARA_B100000925	TARA_109_SRF_0.22-3	5/12/11 13:38	1.99	-84.58	5.4	27.6	33.4	198.6	1.2	0.04	0.27	0.9	1.7	51.5	0.01	0.02	2.22	11.36	9	28	42	28.0	380.0	61.0	2356.0	388.0	3372.0	3269.0	6.65	7.17	15162.0	0.745	1053096.0	0.0	1053096.0	0.0	11.0	tropical	tropical	False
TARA_110_SRF_0.22-3	TARA_B100001109	TARA_110_SRF_0.22-3	5/21/11 12:37	-2.01	-84.59	5.5	23.9	35.0	190.8	6.7	0.31	0.75	8.2	3.9	47.2	0.02	0.0	0.43	7.03	22	41	81	29.0	347.0	253.0	2640.0	415.0	3820.0	3631.0	6.73	7.18	15814.0	0.743	646867.0	189912.0	836779.0	12656.0	13.0	tropical	tropical	False
TARA_111_SRF_0.22-3	TARA_B100000575	TARA_111_SRF_0.22-3	5/31/11 14:12	-16.96	-100.63	5.9	22.8	36.0	208.9	2.6	0.04	0.5	2.68	1.0	34.2	-0.05	0.0	1.04	69.36	67	83	80	29.0	301.0	248.0	2470.0	390.0	3597.0	3453.0	6.63	7.13	14494.0	0.744	498513.0	112358.0	610871.0	5839.0	13.0	tropical	tropical	False
TARA_112_SRF_0.22-3	TARA_B100000941	TARA_112_SRF_0.22-3	6/14/11 16:54	-23.28	-129.4	5.4	24.2	36.5	202.2	-0.9	0.01	0.14	0.03	0.8	27.0	-0.06	0.03	0.44	17.22	131	159	155	162.0	532.0	431.0	2653.0	421.0	4081.0	4021.0	6.52	7.12	16502.0	0.733	493328.0	118066.0	611394.0	321.0	15.0	tropical	tropical	False
TARA_122_SRF_0.22-3	TARA_B100001115	TARA_122_SRF_0.22-3	7/26/11 17:34	-8.99	-139.21	5.9	26.5	35.4	186.2	4.0	0.12	0.57	5.46	2.19	40.2	0.0	0.02		8.42	71	99	107	29.0	232.0	203.0	2417.0	397.0	3614.0	3506.0	6.58	7.13	16069.0	0.736		150974.0	150974.0	5770.0	13.0	tropical	tropical	False
TARA_123_SRF_0.22-3	TARA_B100000683	TARA_123_SRF_0.22-3	7/31/11 17:24	-8.91	-140.28	5.5	26.6	35.4	189.8	3.9	0.14	0.53	4.9	2.22	45.2	0.02	0.04		0.0	88	35	122	29.0	339.0	233.0	2819.0	464.0	4526.0	4335.0	6.5	7.21	19169.0	0.731	721664.0	31112.0	752776.0	10279.0	10.0	tropical	tropical	False
TARA_124_SRF_0.22-3	TARA_B100000674	TARA_124_SRF_0.22-3	8/5/11 0:27	-9.11	-140.58	9.9	26.5	35.4	190.7	5.1	0.16	0.63	6.18	2.52		0.02	0.04		0.0	92	33	115	31.0	241.0	187.0	2532.0	421.0	3812.0	3660.0	6.62	7.21	17533.0	0.738	705265.0	250340.0	955605.0	10669.0	13.0	tropical	tropical	False
TARA_125_SRF_0.22-3	TARA_B100001121	TARA_125_SRF_0.22-3	8/8/11 17:38	-8.91	-142.56	5.5	26.8	35.4	187.3	5.0	0.19	0.56	3.73	1.8		-0.01	0.0	0.14	2.78	95	44	104	29.0	246.0	214.0	2530.0	413.0	3865.0	3776.0	6.67	7.17	17303.0	0.734	800561.0	146848.0	947408.0	5808.0	14.0	tropical	tropical	False
