# Gene Family	sample01.1.prinseq_CPM	sample02.1.prinseq_CPM	sample03.1.prinseq_CPM	sample04.1.prinseq_CPM	sample05.1.prinseq_CPM	sample06.1.prinseq_CPM	sample07.1.prinseq_CPM	sample08.1.prinseq_CPM	sample09.1.prinseq_CPM	sample10.1.prinseq_CPM	sample11.1.prinseq_CPM	sample12.1.prinseq_CPM	sample13.1.prinseq_CPM	sample14.1.prinseq_CPM	sample15.1.prinseq_CPM	sample16.1.prinseq_CPM	sample17.1.prinseq_CPM	sample18.1.prinseq_CPM	sample19.1.prinseq_CPM	sample20.1.prinseq_CPM	sample21.1.prinseq_CPM	sample22.1.prinseq_CPM	sample23.1.prinseq_CPM	sample24.1.prinseq_CPM	sample25.1.prinseq_CPM	sample26.1.prinseq_CPM	sample27.1.prinseq_CPM	sample28.1.prinseq_CPM	sample29.1.prinseq_CPM	sample30.1.prinseq_CPM	sample31.1.prinseq_CPM	sample32.1.prinseq_CPM	sample33.1.prinseq_CPM	sample34.1.prinseq_CPM	sample35.1.prinseq_CPM	sample36.1.prinseq_CPM	sample37.1.prinseq_CPM	sample38.1.prinseq_CPM	sample39.1.prinseq_CPM	sample40.1.prinseq_CPM	sample41.1.prinseq_CPM	sample42.1.prinseq_CPM	sample43.1.prinseq_CPM	sample44.1.prinseq_CPM	sample45.1.prinseq_CPM
UNMAPPED	452030	440127	498634	439251	450903	467385	576319	548104	469838	457874	492050	525598	571299	524394	500365	419298	401714	446208	586259	597232	496409	437682	440252	493480	545002	539703	493546	421149	451031	503379	588034	627834	527728	438790	450302	453141	541854	603731	590096	458760	512974	462301	561498	558309	512941
UNGROUPED	375839	385758	365921	372851	374571	368439	319267	337369	377170	369712	355270	349973	319537	350538	364455	381414	398757	368295	303254	297876	358093	383043	377175	344405	329451	337921	364426	394444	383748	357708	306947	285902	344900	392373	385906	380918	326781	301146	301121	382783	348352	375462	322763	324333	353821
K00001	78.9681	106.746	99.7315	93.011	106.364	99.5044	54.5245	46.8027	52.1684	116.339	103.344	79.6165	66.4345	55.3619	53.4213	89.9165	89.7405	85.5664	79.4592	39.4181	53.8997	90.1462	96.7957	80.2531	86.8644	53.3963	46.103	81.0571	81.1825	57.038	66.5831	36.5191	44.6716	91.2501	88.7566	85.6119	94.7265	40.5557	34.8371	76.142	84.122	99.1342	69.676	57.3753	44.8527
K00002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.466663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.597496
K00003	134.319	144.297	104.687	181.763	156.565	143.97	95.3866	151.701	218.355	149.682	124.321	95.9126	106.894	157.903	168.112	198.692	191.907	175.44	77.4347	116.719	135.077	156.744	161.47	145.497	94.5757	160.882	176.876	165.347	144.278	115.872	66.1494	71.3644	153.585	160.328	143.973	150.241	96.4623	93.9471	115.688	130.871	95.4774	136.68	83.2566	110.592	154.189
K00004	0.627857	0	0.902542	0.154674	0	0	1.8979	0.108207	0.805881	0.263638	0.297634	2.11425	1.61745	0.174231	1.70825	0	0.215848	0.100476	2.3297	0.730601	0.950243	0.227135	0.669374	0.455648	1.95795	1.70141	0.0947955	0.0972223	1.22267	0.293173	0.110424	1.96872	2.44964	0.132632	1.37681	0.259302	0	3.09457	2.13638	0.0594115	1.22288	0.989498	1.01411	1.06357	3.13788
K00005	16.2128	9.04107	0.227472	4.07315	0.668993	4.1663	1.52378	0.110436	0.483885	1.90794	2.27294	1.59686	0.177096	0	0.0759908	2.02556	1.37434	2.24973	6.13432	0.178258	0.238573	0.934965	1.17348	1.06587	5.39641	0	0.0886709	0.28477	0.0924091	1.31946	7.42611	0.671788	0	0.0649062	0.166324	0.062967	1.37069	0	0.0695296	3.17842	1.00726	2.26453	2.88391	0.8759	0.088614
K00006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0754092	0	0	0	0	0	0	0
K00007	0.750585	0.145746	0.857323	0.233724	0	0	0.154553	0.333759	0.412241	0.401725	0.0768683	0.219165	0.200864	0.319679	0.198582	0	0.0804331	0.0787428	0	0.20571	0	0	0.183031	0	0	0.121177	0	0.983238	0.0699362	0	0	0	0	0	0.658127	0.32964	0	0	0.0538711	0.233666	0	0.537886	0	0.0602794	0
K00008	8.01007	8.46534	20.8555	6.46997	8.40207	7.00153	35.4302	60.1895	91.9897	8.78197	9.25207	26.2974	38.4249	62.3221	74.1153	7.74248	7.3018	3.76569	15.7966	41.8323	45.306	7.79835	6.5539	4.62581	12.762	57.4739	71.8041	9.33573	8.81029	4.84732	13.2043	18.0518	48.0891	8.08003	8.86915	7.77265	8.8244	30.2516	34.303	7.01599	8.31908	8.34353	16.7756	29.9866	60.7456
K00009	0	0	0	0	0	0	0.097265	0.209505	0.232058	0	0	0	0	0	0	0	0	0	0.298842	0	0.0751299	0.0720203	0	0	0	0.0752606	0	0.0902299	0	0	0	0.0751924	0	0	0.0797883	0	0.0658246	0	0.0673748	0.0530898	0	0	0	0.149011	0.0843219
K00010	34.7985	40.7572	33.1087	36.3753	47.2999	37.6482	14.6807	12.0696	8.77739	45.4525	35.4132	23.1883	12.265	12.8338	11.5527	36.7652	38.6126	32.6234	16.0149	10.1855	8.88749	35.4824	38.7934	34.3696	17.5558	13.542	9.25312	39.725	35.226	25.2392	19.5216	13.8936	10.7812	39.3025	42.68	37.6821	28.1703	15.3704	10.1314	32.493	30.4169	42.4983	18.4373	19.3335	13.7138
K00012	97.1686	100.558	92.0126	104.332	107.254	96.9489	82.3699	73.3945	80.8858	104.846	92.4018	89.6933	83.146	78.1643	79.6307	140.116	98.3375	127.867	88.9487	67.2831	80.022	100.77	107.037	99.5163	90.9495	79.9507	76.6903	108.656	99.1539	87.2994	83.7948	70.1089	82.7295	111.531	107.87	107.502	98.4625	71.6239	72.1491	99.595	92.2204	105.815	81.0664	83.6278	82.0633
K00013	85.285	84.8432	70.7836	73.9017	76.4516	73.2603	58.4947	45.7837	55.6367	86.9051	72.1579	71.8439	59.6326	56.6568	58.8576	95.2625	64.6915	62.1973	64.4159	48.4951	58.0984	79.8652	81.4896	65.8887	70.9889	50.5972	57.0952	85.8756	77.9133	60.7535	61.3842	53.1635	54.7198	100.409	94.4517	86.1805	79.0801	53.6818	44.678	90.7318	83.365	107.676	65.9594	67.0886	52.5261
K00014	148.873	137.038	106.044	162.146	132.276	128.233	111.584	127.891	193.891	134.163	125.718	120.089	122.07	148.353	157.56	169.949	157.032	184.554	133.36	122.078	135.778	141.24	158.123	139.039	136.623	141.758	165.707	144.882	121.203	106.659	90.036	75.7735	131.625	129.09	125.599	131.571	111.937	96.8825	98.5257	102.763	109.155	119.856	102.538	109.057	147.041
K00015	5.73581	8.89079	15.0425	10.5342	11.5689	11.8086	21.88	17.6039	14.0829	13.57	13.7299	23.7651	23.2706	19.7556	18.375	11.2329	7.6566	6.21679	15.1876	13.6843	11.0667	12.5525	11.1395	9.56854	14.1465	16.5273	14.0797	12.9472	11.4097	9.23577	12.4692	15.2193	13.4412	14.2045	15.4496	14.0605	13.6044	16.9537	11.1192	15.6538	9.8958	14.5045	18.0601	17.2604	13.2372
K00016	0.153525	0.0909458	0	0.169316	0	0.108761	0	0.130049	0	0	0	0.287417	0	0.0949727	0	0.147271	0.120703	0.151816	0.182718	0.0938874	0.0825953	0.210944	0.344221	0	0	0.975477	0	0.272606	0.830843	0.38483	0.130469	0.540062	1.04514	0.559636	1.14478	0.701787	0.4837	0.988509	1.08252	0.153943	1.46388	0.796914	0.0955996	0.801395	1.77282
K00018	3.58965	1.92735	7.42532	3.44301	2.51666	4.10949	9.24667	9.09663	16.4533	4.85146	3.46286	10.4899	11.7933	12.1624	14.6307	1.22409	0.839661	0.234023	7.56575	4.75577	18.3037	1.93416	1.55715	1.26442	4.30306	7.46785	9.58514	2.65977	2.52544	2.21188	2.76598	4.80219	6.6803	1.84353	2.0012	2.22977	3.22447	6.27814	6.96776	1.09984	1.47596	2.3156	5.57139	8.26897	6.97287
