sample,X,Y,Z,radii,Station,Latitude (N),Longitude (E),Depth (m),Temperature (C),Salinity (psu),Oxygen (mL/L),Fluorescence (mg/m^3),Turbidity (V),Nitrate (uM),Phosphate (uM),Silicate (uM),k__SAR11,k__SAR11|p__Ia,k__SAR11|p__Ib,k__SAR11|p__Ic,k__SAR11|p__II,k__SAR11|p__IIIa,k__SAR11|p__V
sample01,823,232,0,16,12,17.662,40.905,10,31.2,38.87,4.249,0.001,0.2553,0.17,0.13,2.1505,329,628,228,0,118,3,15
sample02,823,327,0,16,12,17.662,40.905,25,31.144,38.869,4.248,0.0157,0.2622,0.12,0.13,2.2215,527,939,342,3,206,9,36
sample03,823,392,0,16,12,17.662,40.905,47,23.042,37.393,1.969,1.519,0.3281,12.6,1.07,10.854,162,458,138,13,92,2,6
sample04,767,242,0,16,22,17.996,39.799,10,30.454,39.063,4.29,0.001,0.2601,0.23,0.13,2.2113,340,616,332,1,174,3,11
sample05,767,337,0,16,22,17.996,39.799,25,29.913,39.072,4.324,0.001,0.2988,0.07,0.12,2.2925,267,556,236,1,119,2,14
sample06,767,408,0,16,22,17.996,39.799,50,29.681,39.068,4.319,0.0983,0.2631,0.12,0.11,2.3635,230,426,180,1,124,2,19
sample07,767,480,0,16,22,17.996,39.799,100,24.374,40.052,3.635,0.0814,0.2379,4.23,0.26,3.0228,314,172,235,58,60,6,1
sample08,767,552,0,16,22,17.996,39.799,200,21.927,40.453,1.546,0.001,0.233,14.5,0.82,9.5959,273,77,74,106,38,10,0
sample09,767,647,0,16,22,17.996,39.799,500,21.571,40.533,1.089,0.001,0.2338,16.5,1.26,15.317,699,167,175,269,83,22,1
sample10,795,224,0,16,34,18.58,40.743,10,31.021,38.918,4.338,0.0011,0.2414,0.27,0.14,2.2722,419,924,456,4,228,8,10
sample11,795,318,0,16,34,18.58,40.743,25,30.867,38.937,4.585,0.012,0.2469,2.18,0.25,2.0693,266,513,251,8,126,4,8
sample12,795,390,0,16,34,18.58,40.743,50,21.57,37.014,1.288,1.0967,0.2893,17.5,1.34,14.505,277,324,228,34,100,4,4
sample13,795,463,0,16,34,18.58,40.743,100,22.382,38.435,1.932,0.0336,0.25,9.97,0.71,15.2,303,171,220,63,88,6,0
sample14,795,534,0,16,34,18.58,40.743,200,22.197,40.398,2.838,0.001,0.2373,13.2,0.79,16.128,400,108,147,116,65,6,0
sample15,795,561,0,16,34,18.58,40.743,258,21.81,40.477,0.602,0.001,0.2583,16.5,1.22,16.433,343,107,127,131,70,11,0
sample16,665,227,0,16,91,20.525,38.781,10,30.361,39.291,4.379,0.001,0.2721,0.23,0.13,2.8596,408,1072,474,4,313,18,12
sample17,665,323,0,16,91,20.525,38.781,25,30.365,39.291,4.379,0.001,0.2737,0.2,0.16,2.1038,226,500,204,1,143,5,9
sample18,665,394,0,16,91,20.525,38.781,50,28.495,39.43,4.635,0.0575,0.2578,4.23,0.22,2.6042,245,418,187,4,154,3,2
sample19,665,467,0,16,91,20.525,38.781,100,24.118,40.103,3.484,0.2267,0.242,0.23,0.17,2.7983,380,311,333,58,103,6,0
sample20,665,538,0,16,91,20.525,38.781,200,21.938,40.45,1.673,0.001,0.2437,12.1,0.64,7.9455,250,49,79,88,35,6,1
sample21,665,633,0,16,91,20.525,38.781,500,21.575,40.531,0.915,0.001,0.235,17.5,0.96,16.749,258,71,76,96,29,11,0
sample22,594,221,0,16,108,22.046,37.929,10,30.529,39.37,4.368,0.001,0.2475,0.44,0.14,1.634,279,708,295,3,227,8,6
sample23,594,316,0,16,108,22.046,37.929,25,30.509,39.373,4.378,0.001,0.2498,0.39,0.2,1.8281,267,632,313,1,227,5,3
sample24,594,388,0,16,108,22.046,37.929,50,30.436,39.368,4.382,0.0024,0.256,0.06,0.13,2.0834,242,531,231,5,196,7,3
sample25,594,460,0,16,108,22.046,37.929,100,24.214,40.119,3.995,0.4532,0.249,2.4,0.2,2.6042,315,276,298,56,84,12,0
sample26,594,532,0,16,108,22.046,37.929,200,22.118,40.42,2.786,0.001,0.2377,9.79,0.52,7.1285,352,105,137,121,80,7,1
sample27,594,627,0,16,108,22.046,37.929,500,21.575,40.532,1.003,0.001,0.2229,18.6,1.12,13.889,338,86,62,109,42,9,0
sample28,521.5,215,0,16,149,23.604,37.054,10,29.8,40.017,4.373,0.001,0.2435,0.24,0.1,2.1842,351,505,257,3,182,7,6
sample29,521.5,310,0,16,149,23.604,37.054,25,29.802,40.017,4.38,0.001,0.2435,0.08,0.07,2.3688,341,475,271,0,213,4,9
sample30,521.5,382,0,16,149,23.604,37.054,50,27.539,39.86,4.682,0.002,0.2505,0.15,0.07,2.0774,323,375,237,6,162,6,2
sample31,521.5,454,0,16,149,23.604,37.054,100,24.549,40.077,4.432,0.3989,0.2494,0.4,0.16,2.6601,225,298,223,10,104,5,1
sample32,521.5,526,0,16,149,23.604,37.054,200,22.935,40.331,4.083,0.0569,0.2312,2.36,0.2,2.6892,176,121,119,18,35,5,0
sample33,521.5,621,0,16,149,23.604,37.054,500,21.582,40.529,0.775,0.001,0.2262,19,1.04,14.576,281,68,69,108,39,8,1
sample34,431.5,204,0,16,169,25.772,36.116,10,28.943,40.512,4.458,0.001,0.2451,0.09,0.09,2.0195,676,769,599,1,209,8,9
sample35,431.5,298,0,16,169,25.772,36.116,25,28.943,40.512,4.461,0.001,0.2461,0.12,0.08,1.9586,453,519,425,0,149,5,5
sample36,431.5,371,0,16,169,25.772,36.116,50,27.999,40.397,4.633,0.001,0.2408,0.09,0.1,2.1819,552,657,464,7,353,7,3
sample37,431.5,442,0,16,169,25.772,36.116,100,24.825,40.332,4.607,0.3364,0.2393,0.16,0.08,2.5474,484,731,470,8,270,8,10
sample38,431.5,515,0,16,169,25.772,36.116,200,22.349,40.409,3.568,0.001,0.2401,5.35,0.28,6.385,221,140,145,61,46,9,0
sample39,431.5,610,0,16,169,25.772,36.116,500,21.603,40.53,1.407,0.001,0.2249,15.7,0.84,13.898,250,61,57,77,25,8,2
sample40,314,201.5,0,16,192,27.897,34.507,10,27.891,40.512,4.517,0.001,0.2436,0.25,0.09,2.1921,505,687,469,4,211,6,7
sample41,314,296,0,16,192,27.897,34.507,25,27.845,40.515,4.514,0.0034,0.2542,0.15,0.07,2.4053,299,470,302,4,161,5,10
sample42,314,368,0,16,192,27.897,34.507,50,26.227,40.444,4.608,0.3053,0.2519,0.05,0.07,2.2124,465,784,497,3,257,9,4
sample43,314,440,0,16,192,27.897,34.507,100,23.678,40.395,4.19,0.1246,0.2345,1.31,0.11,2.6083,327,431,326,17,187,9,1
sample44,314,512,0,16,192,27.897,34.507,200,22.408,40.442,3.463,0.001,0.2359,5.21,0.26,4.8926,275,226,170,61,82,8,1
sample45,314,608,0,16,192,27.897,34.507,500,21.606,40.53,1.387,0.001,0.2389,15.7,0.81,13.187,306,69,73,99,36,9,1
