sample,X,Y,Z,radii,Station,Latitude (N),Longitude (E),Depth (m),Temperature (C),Salinity (psu),Oxygen (mL/L),Fluorescence (mg/m^3),Turbidity (V),Nitrate (uM),Phosphate (uM),Silicate (uM),k__Proch,k__Proch|p__HL,k__Proch|p__HL|c__HL_I,k__Proch|p__HL|c__HL_II,k__Proch|p__LL,k__Proch|p__LL|c__LL_I,k__Proch|p__LL|c__LL_IIorIII,k__Proch|p__LL|c__LL_IV,k__Proch|p__HL|c__HNLC
sample01,823,232,0,16,12,17.662,40.905,10,31.2,38.87,4.249,0.001,0.2553,0.17,0.13,2.1505,177,319,10,1412,125,10,86,17,213
sample02,823,327,0,16,12,17.662,40.905,25,31.144,38.869,4.248,0.0157,0.2622,0.12,0.13,2.2215,271,514,27,1856,146,21,139,10,293
sample03,823,392,0,16,12,17.662,40.905,47,23.042,37.393,1.969,1.519,0.3281,12.6,1.07,10.854,174,256,16,232,61,11,92,8,196
sample04,767,242,0,16,22,17.996,39.799,10,30.454,39.063,4.29,0.001,0.2601,0.23,0.13,2.2113,177,287,16,2454,94,14,76,9,188
sample05,767,337,0,16,22,17.996,39.799,25,29.913,39.072,4.324,0.001,0.2988,0.07,0.12,2.2925,188,263,13,1185,56,8,78,3,220
sample06,767,408,0,16,22,17.996,39.799,50,29.681,39.068,4.319,0.0983,0.2631,0.12,0.11,2.3635,171,292,20,1041,81,10,87,6,201
sample07,767,480,0,16,22,17.996,39.799,100,24.374,40.052,3.635,0.0814,0.2379,4.23,0.26,3.0228,163,177,10,198,117,11,68,12,109
sample08,767,552,0,16,22,17.996,39.799,200,21.927,40.453,1.546,0.001,0.233,14.5,0.82,9.5959,81,120,7,152,56,6,49,15,72
sample09,767,647,0,16,22,17.996,39.799,500,21.571,40.533,1.089,0.001,0.2338,16.5,1.26,15.317,145,217,22,373,64,6,87,11,110
sample10,795,224,0,16,34,18.58,40.743,10,31.021,38.918,4.338,0.0011,0.2414,0.27,0.14,2.2722,272,419,23,1663,105,13,115,5,247
sample11,795,318,0,16,34,18.58,40.743,25,30.867,38.937,4.585,0.012,0.2469,2.18,0.25,2.0693,193,310,13,836,85,10,89,5,198
sample12,795,390,0,16,34,18.58,40.743,50,21.57,37.014,1.288,1.0967,0.2893,17.5,1.34,14.505,177,250,14,261,135,5,94,13,153
sample13,795,463,0,16,34,18.58,40.743,100,22.382,38.435,1.932,0.0336,0.25,9.97,0.71,15.2,142,195,17,189,88,11,66,11,123
sample14,795,534,0,16,34,18.58,40.743,200,22.197,40.398,2.838,0.001,0.2373,13.2,0.79,16.128,117,117,10,177,81,9,57,26,80
sample15,795,561,0,16,34,18.58,40.743,258,21.81,40.477,0.602,0.001,0.2583,16.5,1.22,16.433,130,160,9,176,75,9,61,13,76
