rRNA_number,1000ng_NoRibo,500ng_NoRibo,100ng_NoRibo,1000ng_Ribodpl,500ng_Ribodpl,100ng_Ribodpl,50ng_Ribodpl,25ng_Ribodpl,10ng_Ribodpl,5ng_Ribodpl_17cyc,5ng_Ribodpl_15cyc,2ng_Ribodpl_17cyc,2ng_Ribodpl_15cyc,1ng_Ribodpl_17cyc,1ng_Ribodpl_15cyc
c1rna11,2636820,3285568,3408840,1426,1279,1668,7992,4256,1087,503,1998,410,171,1269,187
c1rna112,2440,1058,2591,1,1,2,13,2,1,67,129,203,61,109,35
c1rna113,2823215,3480829,3581366,1578,1382,1600,8514,4412,1132,534,2130,419,177,1430,226
c1rna118,1627722,1860713,1856185,591,494,814,2709,1399,427,155,1217,188,64,916,112
c1rna119,2161,703,2256,2,1,2,5,0,2,45,107,206,52,118,36
c1rna12,2425,1073,2606,1,2,0,11,3,1,47,116,203,40,87,31
c1rna120,2752465,3425253,3549201,1601,1330,1571,8161,4322,1085,465,2012,401,164,1370,238
c1rna123,1772205,2065624,2067137,641,607,873,3051,1572,512,166,1295,231,54,1031,104
c1rna124,2201,757,2264,3,0,3,5,0,2,65,118,192,45,108,37
c1rna125,2733942,3404669,3523767,1526,1379,1587,8004,4349,1126,499,2092,409,169,1338,218
c1rna127,1732136,2010639,2009015,649,532,832,2851,1474,464,152,1330,217,73,1099,109
c1rna133,1681,461,1582,2,0,0,10,0,1,76,79,101,21,68,21
c1rna135,2231,663,2279,1,2,0,8,0,0,51,128,185,44,104,24
c1rna136,2742658,3413870,3540928,1445,1365,1609,8178,4376,1121,467,2068,399,161,1253,210
c1rna140,1737253,2011110,2008839,688,519,833,2905,1499,482,167,1351,195,62,1029,92
c1rna141,2233,757,2209,0,0,1,2,0,1,58,117,195,37,113,31
c1rna142,2612404,3227985,3335714,1277,1167,1510,7701,4099,1040,434,1916,352,160,1254,220
c1rna146,1736475,2010447,2010862,658,526,813,2825,1456,448,159,1361,208,77,1052,97
c1rna147,2192,707,2254,1,1,1,6,0,0,54,110,240,43,127,23
c1rna148,2733144,3398566,3517566,1508,1332,1644,8321,4272,1116,469,2036,400,181,1282,200
c1rna149,1731515,2009153,2007739,656,554,828,2887,1515,464,164,1346,212,71,1017,101
c1rna34,1735306,2010714,2011514,695,540,798,2906,1442,446,170,1298,193,87,1069,101
c1rna35,2726798,3388339,3505782,1457,1274,1499,8117,4290,1111,453,2046,363,188,1358,215
c1rna36,2147,732,2276,2,3,1,1,2,0,56,135,211,50,113,26
c1rna4,1472060,1802001,1865431,562,487,724,2681,1435,436,143,1106,161,51,894,86
c1rna6,2738074,3406740,3522971,1577,1327,1663,7933,4252,1023,467,2095,407,173,1283,235
c1rna7,2147,714,2283,0,2,0,12,2,3,58,125,217,54,110,27
c1rna8,1769958,2064855,2063313,695,577,813,2954,1589,470,183,1404,220,73,994,123
c1rna85,2408,886,2428,0,0,4,7,3,0,47,146,229,40,116,24
c1rna86,2697737,3360901,3492811,1559,1335,1624,8021,4348,1082,450,2025,385,160,1417,210
c1rna88,1589130,1840426,1840266,635,491,796,2579,1460,442,161,1182,195,68,995,118
c1rna90,2458,1030,2553,0,1,2,9,1,0,58,119,216,48,90,32
c1rna91,2666192,3317937,3437483,1472,1360,1605,8024,4171,1088,441,2098,381,146,1256,225
c1rna94,1639847,1919202,1938999,649,534,817,2710,1428,429,175,1221,188,70,941,76
c2rna3,1737760,2010158,2011095,680,574,841,2734,1569,464,175,1276,229,79,1035,97
c2rna7,2645682,3295307,3411441,1426,1323,1522,7769,4156,1016,460,2046,382,154,1260,229
c2rna8,2170,660,2228,0,3,1,6,0,0,49,142,212,35,112,30
__no_feature,7477590,8533788,7921391,7361780,6948128,4874387,17499492,1253774,6028521,9570113,9081905,5764217,3473446,1798279,1138213
__ambiguous,22,34,33,0,0,0,0,0,0,0,0,0,0,0,0
__too_low_aQual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
__not_aligned,935024,1134110,842222,72125,92198,142990,920662,56401,1164024,7658501,5540091,3652887,3491492,5990795,1981971
__alignment_not_unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
