CDS_number,VF_number,Length_bp,Description,1000ng_NoRibo,500ng_NoRibo,100ng_NoRibo,1000ng_Ribodpl,500ng_Ribodpl,100ng_Ribodpl,50ng_Ribodpl,25ng_Ribodpl,10ng_Ribodpl,5ng_Ribodpl_17cyc,5ng_Ribodpl_15cyc,2ng_Ribodpl_17cyc,2ng_Ribodpl_15cyc,1ng_Ribodpl_17cyc,1ng_Ribodpl_15cyc
c1cds0,VF_0001,435,flavodoxin,289,336,270,277,226,184,658,53,334,164,175,169,55,29,12
c1cds1,VF_0002,1368,tRNA modification GTPase TrmE,1380,1618,1470,1458,1443,949,4001,310,1237,1993,2069,1208,569,376,226
c1cds2,VF_0003,1626,inner membrane protein translocase component YidC,4274,4984,4611,4625,4625,3300,11742,935,4317,5273,5700,2991,1737,1067,599
c1cds3,VF_0004,354,ribonuclease P,308,452,457,438,371,251,625,56,273,213,268,126,79,51,32
c1cds4,VF_0005,135,50S ribosomal protein L34,2789,3490,3978,4247,5320,3140,29044,1192,8001,15080,10411,12680,6598,2678,1601
c1cds5,VF_0006,738,cystine transport ATP-binding protein,63,58,63,51,62,37,154,6,39,115,83,35,20,5,5
c1cds6,VF_0007,672,cystine transport system permease,19,17,18,13,10,11,34,3,20,0,26,8,17,0,0
c1cds7,VF_0008,753,cystine-binding protein,114,125,142,98,111,79,237,23,67,158,182,76,20,29,1
c1cds8,VF_0009,1410,chromosome replication initiator DnaA,1146,1361,1324,1288,1259,996,3174,204,1251,1851,1649,987,647,363,132
c1cds9,VF_0010,1101,DNA polymerase III subunit beta,818,1037,1125,1153,1135,825,3134,280,1144,1658,1478,887,633,244,162
c1cds10,VF_0011,1080,recombination protein F,1944,2154,1652,1714,1821,1175,4759,326,1699,2881,2612,1754,1003,603,289
c1cds11,VF_0012,2418,DNA gyrase subunit B,5077,6500,6848,7179,6781,5557,20324,1554,7156,10536,10071,6702,3615,1879,1219
c1cds12,VF_0013,435,heat shock chaperone,1925,2316,2169,2110,2166,1503,5179,387,2130,2473,2151,1633,1028,247,273
c1cds13,VF_0014,1248,valine--pyruvate transaminase,582,706,642,478,515,317,900,76,374,576,557,332,235,37,45
c1cds14,VF_0015,921,glycyl-tRNA synthetase subunit alpha,2151,2523,2285,2200,2025,1329,4890,345,1653,3595,3231,2000,1265,944,419
c1cds15,VF_0016,2067,glycyl-tRNA synthetase subunit beta,3611,4592,4998,5107,5080,3997,12716,1179,5141,6158,6057,3508,2310,1357,630
c1cds16,VF_0017,1641,alpha-amylase,2290,2402,2173,2067,2034,1369,4515,351,1694,2612,2383,1363,848,545,287
c1cds17,VF_0018,252,NADH dehydrogenase subunit II-like protein,7851,7548,6014,5820,4505,1884,6845,577,2333,5253,5266,3189,2165,682,520
c1cds18,VF_0019,252,sulfur transfer protein SirA,86,56,51,53,49,32,179,12,24,61,75,37,64,0,3
c1cds19,VF_0020,192,hypothetical protein,313,345,336,314,312,196,1388,85,417,337,242,228,79,2,44
c1cds20,VF_0021,942,LysR family transcriptional regulator,368,450,345,385,317,241,933,67,372,574,547,253,187,43,59
c1cds21,VF_0022,447,hypothetical protein,75,93,93,85,85,71,135,18,59,75,73,53,12,7,0
