CDS_number,VF_number,Length_bp,Description,Plk1,Plk2,Plk3,Swt1,Swt2,Swt3,Vnt1,Vnt2,Vnt3
c1cds0,VF_0001,435,flavodoxin,225,161,128,774,776,184,0,65,99
c1cds1,VF_0002,1368,tRNA modification GTPase TrmE,3365,3367,4382,3238,3805,949,48,706,1398
c1cds2,VF_0003,1626,inner membrane protein translocase component YidC,3632,9491,14111,25624,10388,3300,444,2177,2439
c1cds3,VF_0004,354,ribonuclease P,268,974,1429,2264,774,251,82,318,490
c1cds4,VF_0005,135,50S ribosomal protein L34,14359,20016,15109,21084,16270,3140,57,4173,7349
c1cds5,VF_0006,738,cystine transport ATP-binding protein,2546,942,1432,172,118,37,84,429,661
c1cds6,VF_0007,672,cystine transport system permease,1287,490,676,69,34,11,88,546,547
c1cds7,VF_0008,753,cystine-binding protein,16462,3144,4776,255,262,79,1834,8081,9053
c1cds8,VF_0009,1410,chromosome replication initiator DnaA,391,1168,1504,4394,2976,996,73,1174,1508
c1cds9,VF_0010,1101,DNA polymerase III subunit beta,672,1353,1675,4307,2614,825,72,1001,1405
c1cds10,VF_0011,1080,recombination protein F,1559,2128,2763,5811,4517,1175,268,1063,1818
c1cds11,VF_0012,2418,DNA gyrase subunit B,3542,6781,8940,34098,19180,5557,76,1367,2304
c1cds12,VF_0013,435,heat shock chaperone,4630,5824,4650,1046,2542,1503,62,1018,1333
c1cds13,VF_0014,1248,valine--pyruvate transaminase,292,644,776,1139,939,317,71,275,354
c1cds14,VF_0015,921,glycyl-tRNA synthetase subunit alpha,674,1089,1570,10868,4036,1329,30,468,607
c1cds15,VF_0016,2067,glycyl-tRNA synthetase subunit beta,2108,3619,5410,23218,10876,3997,59,885,1318
c1cds16,VF_0017,1641,alpha-amylase,3909,3783,4919,4080,4485,1369,268,1658,3104
c1cds17,VF_0018,252,NADH dehydrogenase subunit II-like protein,12945,8396,6786,2879,8330,1884,26,1519,1679
c1cds18,VF_0019,252,sulfur transfer protein SirA,181,678,890,155,154,32,24,136,226
c1cds19,VF_0020,192,hypothetical protein,6504,14524,8128,310,2050,196,291,3046,3336
c1cds20,VF_0021,942,LysR family transcriptional regulator,915,1630,1538,573,1160,241,128,532,815
c1cds21,VF_0022,447,hypothetical protein,214,294,219,134,192,71,18,121,133
