Ortholog group	Number of genomes	Example accession	Description	Red_Sea_only
pelag10000	75	AAA024N17_00354	GDP-perosamine synthase	
pelag10001	71	AAA288G21_00327	Cold shock-like protein CspLA	
pelag10002	55	HIMB083_00082	Sarcosine oxidase subunit alpha	
pelag10003	55	HIMB083_00539	3-succinoylsemialdehyde-pyridine dehydrogenase	
pelag10004	52	HIMB083_00335	Ammonia channel	
pelag10005	48	AAA280B11_00334	Sulfate/thiosulfate import ATP-binding protein CysA	
pelag10006	46	AAA024N17_00229	Acetylornithine aminotransferase	
pelag10007	46	AAA280B11_00519	Putative peroxiredoxin	
pelag10008	46	AAA280B11_00536	Peptide methionine sulfoxide reductase MsrB	
pelag10009	45	AAA024N17_00179	Release factor glutamine methyltransferase	
pelag10010	45	AAA024N17_00228	Inner membrane transport permease YadH	
pelag10011	44	Pelagibacter_AAA795-C10_00011	Daunorubicin/doxorubicin resistance ATP-binding protein DrrA	
pelag10012	44	AAA024N17_00178	hypothetical protein	
pelag10013	44	AAA024N17_00206	Penicillin-binding protein 2	
pelag10014	44	AAA024N17_00207	Rod shape-determining protein RodA	
pelag10015	44	AAA280P20_00391	Thymidylate synthase ThyX	
pelag10016	43	AAA288N07_00669	Signal recognition particle receptor FtsY	
pelag10017	43	AAA024N17_00095	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	
pelag10018	43	AAA024N17_00121	Pyruvate, phosphate dikinase	
pelag10019	43	AAA024N17_00256	Cytochrome b/c1	
pelag10020	43	AAA024N17_00269	2-oxoglutarate dehydrogenase E1 component	
pelag10021	43	QL1_00137	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex	
pelag10022	43	AAA280B11_00771	Protein translocase subunit SecY	
pelag10023	43	AAA280P20_00520	Protein translocase subunit SecA	
pelag10024	42	HIMB114_00223	Aconitate hydratase 1	
pelag10025	42	AAA024N17_00079	Lipoprotein signal peptidase	
pelag10026	42	AAA024N17_00086	ATP phosphoribosyltransferase	
pelag10027	42	AAA024N17_00254	Ribosome-binding ATPase YchF	
pelag10028	42	AAA024N17_00255	Cytochrome b/c1	
pelag10029	42	AAA024N17_00257	Ubiquinol-cytochrome c reductase iron-sulfur subunit	
pelag10030	42	AAA024N17_00258	tRNA (cytidine(34)-2'-O)-methyltransferase	
pelag10031	42	AAA024N17_00273	3-isopropylmalate dehydratase small subunit 1	
pelag10032	42	AAA280B11_00033	Threonine synthase	
pelag10033	42	AAA280B11_00088	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	
pelag10034	42	AAA280B11_00144	ADP-L-glycero-D-manno-heptose-6-epimerase	
pelag10035	42	QL1_00048	DNA polymerase III subunit tau	
pelag10036	42	AAA280B11_00329	NAD(P) transhydrogenase subunit beta	
pelag10037	42	AAA280P20_00711	Branched-chain-amino-acid aminotransferase	
pelag10038	42	AAA280B11_00500	Ribosomal large subunit pseudouridine synthase C	
pelag10039	42	AAA280B11_00696	Outer membrane protein assembly factor BamD	
pelag10040	42	AAA280B11_00697	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	
pelag10041	42	AAA280B11_00733	ATP synthase subunit alpha	
pelag10042	42	AAA280B11_00738	ATP synthase subunit delta	
pelag10043	42	AAA280B11_00768	ATP synthase epsilon chain	
pelag10044	42	AAA280B11_00772	Adenylate kinase	
pelag10045	42	AAA280P20_00078	50S ribosomal protein L4	
pelag10046	42	AAA280P20_00084	DNA-directed RNA polymerase subunit beta'	
pelag10047	42	AAA280P20_00394	Modulator of FtsH protease HflK	
pelag10048	42	AAA280P20_00395	Modulator of FtsH protease HflC	
pelag10049	42	AAA280P20_00397	putative periplasmic serine endoprotease DegP-like protein	
pelag10050	42	AAA280P20_00399	Acetolactate synthase isozyme 3 large subunit	
pelag10051	42	AAA280P20_00400	Acetolactate synthase small subunit	
pelag10052	42	AAA280P20_00401	Ketol-acid reductoisomerase	
pelag10053	42	AAA280P20_00403	Rod shape-determining protein MreB	
pelag10054	42	AAA280P20_00404	Cell shape-determining protein MreC	
pelag10055	42	AAA280P20_00405	hypothetical protein	
pelag10056	42	AAA280P20_00549	Glycine--tRNA ligase beta subunit	
pelag10057	41	AAA024N17_00010	Alanine--tRNA ligase	
pelag10058	41	AAA024N17_00033	3-oxoacyl-[acyl-carrier-protein] reductase FabG	
