VF_number,CDS_number,Plk1_rpkm,Plk2_rpkm,Plk3_rpkm,Plk_rpkm_mean,Plk_rpkm_std,Swt1_rpkm,Swt2_rpkm,Swt3_rpkm,Swt_rpkm_mean,Swt_rpkm_std,Vnt1_rpkm,Vnt2_rpkm,Vnt3_rpkm,Vnt_rpkm_mean,Vnt_rpkm_std,Plk-vs-Swt_log2fc,Plk-vs-Swt_padj,Vnt-vs-Plk_log2fc,Vnt-vs-Plk_padj,Vnt-vs-Swt_log2fc,Vnt-vs-Swt_padj,Description,KO_number,Pathways
VF_0001,c1cds0,26.6682013658,14.2790653801,10.3751170995,17.1074612818,8.50682174844,85.0754690812,93.6043829853,80.1372609655,86.2723710106,6.81287564437,0.0,24.6515694576,20.909698391,15.1870892829,13.2848093864,-2.057482,0.00555923399664,-0.545321,0.605532206634,-2.602804,0.000361369840387,flavodoxin,K06205,"[(None, ('Unclassified', 'Metabolism', 'Energy metabolism'))]"
VF_0002,c1cds1,126.823412782,94.9555124841,112.942805198,111.573910155,15.9779902545,113.173147832,145.946029466,131.427438443,130.182205247,16.4218877396,39.33370835,85.1410649586,93.8907708852,72.7885147312,29.3011499938,-0.047529,0.948794205512,-1.198416,0.0579047980144,-1.245945,0.0259155056899,tRNA modification GTPase TrmE,K03650,"[(None, ('Unclassified', 'Poorly Characterized', 'General function prediction only'))]"
VF_0003,c1cds2,115.166392516,225.1928489,305.99162854,215.450289985,95.7849454071,753.492672039,335.224012619,384.502640903,491.07310852,228.593780076,306.106239521,220.881001216,137.813921213,221.600387317,84.1484654499,-0.902908,0.122985719391,-0.842291,0.199787658035,-1.745199,0.00103411899038,inner membrane protein translocase component YidC,K03217,"[('PATH:ko03060', ('Genetic Information Processing', 'Folding, Sorting and Degradation', 'Protein export')), ('PATH:ko03070', ('Environmental Information Processing', 'Membrane Transport', 'Bacterial secretion system')), ('BR:ko02044', ('Environmental Information Processing', 'Membrane Transport', 'Secretion system'))]"
VF_0004,c1cds3,39.0330058408,106.149721214,142.331576973,95.8381013425,52.4156067193,305.791781522,114.725885707,134.331043333,184.949570187,105.110516037,259.669142412,148.198678969,127.172921647,178.346914343,71.2074378234,-0.648468,0.369802273108,-0.031098,0.976269521524,-0.679567,0.315640891678,ribonuclease P,K03536,"[(None, ('Unclassified', 'Genetic Information Processing', 'Translation proteins'))]"
VF_0005,c1cds4,5483.91723403,5720.14037735,3946.15597519,5050.07119552,963.287056711,7467.44250834,6323.79095417,4406.58151179,6065.93832477,1546.63618667,473.315623811,5099.58800179,5001.45435554,3524.78599372,2643.10633856,-0.070167,0.948324457289,-0.993482,0.326464012189,-1.063649,0.211051291831,50S ribosomal protein L34,K02914,"[('PATH:ko03010', ('Genetic Information Processing', 'Translation', 'Ribosome')), ('BR:ko03011', ('Genetic Information Processing', 'Translation', 'Ribosome'))]"
VF_0006,c1cds5,177.86991686,49.2444968001,68.4162002837,98.5102046479,69.39280579,11.1435799609,8.38975668887,9.49841828119,9.67725164367,1.38559434255,127.594712452,95.900617768,82.289974636,101.928434952,23.2460911156,3.364713,1.57405386015e-12,-0.679938,0.273849955427,2.684776,3.10526898966e-08,cystine transport ATP-binding protein,K02028,"[('BR:ko02000', ('Environmental Information Processing', 'Membrane Transport', 'Transporters'))]"
VF_0007,c1cds6,98.7437777356,28.1313108711,35.4690631309,54.1147172458,38.823645272,4.90944576041,2.65480950914,3.10119689538,3.55515072164,1.19390188611,146.799018663,134.042908926,74.7859274839,118.542618358,38.42740664,3.881741,2.51731364308e-13,0.351926,0.654421837007,4.233668,1.45202980967e-15,cystine transport system permease,K02029,"[('BR:ko02000', ('Environmental Information Processing', 'Membrane Transport', 'Transporters'))]"
VF_0008,c1cds7,1127.16653348,161.083376444,223.635959092,503.961956337,540.616467677,16.1919014859,18.257026069,19.876414437,18.1084473306,1.84674460953,2730.32350829,1770.4782871,1104.58559428,1868.46246323,817.286128194,4.601209,1.44982321897e-13,1.059565,0.184068009589,5.660774,4.25423960106e-20,cystine-binding protein,K02030,"[('BR:ko02000', ('Environmental Information Processing', 'Membrane Transport', 'Transporters'))]"
VF_0009,c1cds8,14.2974342925,31.9585372376,37.6097994855,27.9552570052,12.1608503892,149.002511451,110.748418913,133.827743162,131.192891175,19.2626771953,58.0381420015,137.362902415,98.2616516264,97.8875653475,39.6637032948,-1.89916,0.00211127491241,1.031507,0.162010220073,-0.867653,0.181725006316,chromosome replication initiator DnaA,K02313,"[('BR:ko03032', ('Genetic Information Processing', 'Replication and Repair', 'DNA replication proteins')), ('BR:ko03036', ('Genetic Information Processing', 'Replication and Repair', 'Chromosome')), ('PATH:ko02020', ('Environmental Information Processing', 'Signal Transduction', 'Two-component system')), ('PATH:ko04112', ('Cellular Processes', 'Cell Growth and Death', 'Cell cycle - Caulobacter'))]"
VF_0010,c1cds9,31.4689620476,47.4104023151,53.6413608126,44.1735750584,11.4351040557,187.042458136,124.578180858,141.962146709,151.194261901,32.2392687131,73.3086008484,149.991701904,117.244056497,113.514786417,38.477332137,-1.494547,0.00695138636976,0.626027,0.36989471678,-0.86852,0.126072706895,DNA polymerase III subunit beta,K02338,"[('PATH:ko00230', ('Metabolism', 'Nucleotide Metabolism', 'Purine metabolism')), ('PATH:ko00240', ('Metabolism', 'Nucleotide Metabolism', 'Pyrimidine metabolism')), ('PATH:ko03030', ('Genetic Information Processing', 'Replication and Repair', 'DNA replication')), ('BR:ko03032', ('Genetic Information Processing', 'Replication and Repair', 'DNA replication proteins')), ('PATH:ko03430', ('Genetic Information Processing', 'Replication and Repair', 'Mismatch repair')), ('PATH:ko03440', ('Genetic Information Processing', 'Replication and Repair', 'Homologous recombination')), ('BR:ko03400', ('Genetic Information Processing', 'Replication and Repair', 'DNA repair and recombination proteins'))]"
VF_0011,c1cds10,74.425682219,76.017053376,90.2047534536,80.2158296829,8.68717814442,257.264444697,219.457312077,206.119955269,227.613904014,26.5299301497,278.176726275,162.379045228,154.657844917,198.404538807,69.1925259955,-1.289403,8.71287620325e-06,0.438584,0.235095472555,-0.850819,0.00437394314081,recombination protein F,K03629,"[('PATH:ko03440', ('Genetic Information Processing', 'Replication and Repair', 'Homologous recombination')), ('BR:ko03400', ('Genetic Information Processing', 'Replication and Repair', 'DNA repair and recombination proteins'))]"
VF_0012,c1cds11,75.5253462335,108.193360662,130.362751008,104.693819301,27.5856907275,674.256681135,416.213369958,435.401608061,508.623886384,143.762700806,35.2344136832,93.2680061087,87.5443271232,72.015582305,31.9817275827,-1.962275,0.00131276670287,-1.153305,0.10616084158,-3.11558,9.73031714629e-08,DNA gyrase subunit B,K02470,"[('BR:ko03032', ('Genetic Information Processing', 'Replication and Repair', 'DNA replication proteins')), ('BR:ko03400', ('Genetic Information Processing', 'Replication and Repair', 'DNA repair and recombination proteins'))]"
VF_0013,c1cds12,548.772321438,516.529669401,376.908550879,480.736847239,91.3517022086,114.972791549,306.6267288,654.599474082,358.732998144,273.560846256,159.776235987,386.081503197,281.541696517,275.799811901,113.261844506,0.548275,0.521548011365,-1.379045,0.0928198501931,-0.83077,0.272553762262,heat shock chaperone,K04080,"[('BR:ko03110', ('Genetic Information Processing', 'Folding, Sorting and Degradation', 'Chaperones and folding catalysts'))]"
VF_0014,c1cds13,12.0633722845,19.9083123088,21.9239816713,17.9652220882,5.20956851128,43.6376934758,39.4797803249,48.1227686073,43.7467474693,4.3225260199,63.7754477934,36.3528599157,26.0609658705,42.0630911932,19.4948863195,-1.0385,0.0171160958702,0.286582,0.640820689148,-0.751918,0.0889689194952,valine--pyruvate transaminase,K00835,"[('PATH:ko00290', ('Metabolism', 'Amino Acid Metabolism', 'Valine, leucine and isoleucine biosynthesis')), ('BR:ko01007', ('Metabolism', 'Amino Acid Metabolism', 'Amino acid related enzymes'))]"
VF_0015,c1cds14,37.7312098368,45.6174928448,60.10523737,47.8179800172,11.3481665859,564.212427957,229.940381689,273.382857852,355.845222499,181.753903442,36.5150061229,83.8313958102,60.5523345469,60.2995788267,23.659207454,-2.552958,8.81280851855e-06,-0.345734,0.690391219754,-2.898692,3.62657016095e-07,glycyl-tRNA synthetase subunit alpha,K01878,"[('BR:ko01007', ('Metabolism', 'Amino Acid Metabolism', 'Amino acid related enzymes')), ('PATH:ko00970', ('Genetic Information Processing', 'Translation', 'Aminoacyl-tRNA biosynthesis'))]"
VF_0016,c1cds15,52.5812122526,67.5478094414,92.2845678596,70.8045298512,20.051029462,537.077524937,276.091122753,366.352871612,393.173839767,132.544327607,31.9978861105,70.6355398157,58.5836955843,53.7390405035,19.7691700154,-2.156443,0.000139596417691,-1.048869,0.121341947174,-3.205312,4.95389266222e-09,glycyl-tRNA synthetase subunit beta,K01879,"[('BR:ko01007', ('Metabolism', 'Amino Acid Metabolism', 'Amino acid related enzymes')), ('PATH:ko00970', ('Genetic Information Processing', 'Translation', 'Aminoacyl-tRNA biosynthesis'))]"
VF_0017,c1cds16,122.816736747,88.9387299245,105.691615442,105.815694038,16.9393442373,118.878750215,143.409389465,158.052291034,140.113476904,19.7936569329,183.077918572,166.684961702,173.786070057,174.516316777,8.22083961308,-0.22906,0.612075774003,-0.026569,0.965259952555,-0.25563,0.529024615928,alpha-amylase,K01176,"[('PATH:ko00500', ('Metabolism', 'Carbohydrate Metabolism', 'Starch and sucrose metabolism')), ('PATH:ko04973', ('Organismal Systems', 'Digestive System', 'Carbohydrate digestion and absorption'))]"
VF_0018,c1cds17,2648.51220469,1285.3904004,949.479536119,1627.79404707,899.782304312,546.252921516,1734.47554597,1416.40120022,1232.3765559,615.115479894,115.659832886,994.437991004,612.141729411,574.0798511,440.623754162,0.471296,0.643586819806,-1.890438,0.0385736843674,-1.419142,0.0909998550269,NADH dehydrogenase subunit II-like protein,,
VF_0019,c1cds18,37.0321134838,103.79879603,124.526493832,88.4524677822,45.7214281401,29.4092403039,32.0659344634,24.0577698551,28.5109815408,4.0789492155,106.762922664,89.0346061728,82.3966830535,92.7314039635,12.5967513121,1.792035,0.00245704062918,-0.739435,0.321051500184,1.052599,0.088094375696,sulfur transfer protein SirA,K04085,"[('PATH:ko04122', ('Genetic Information Processing', 'Folding, Sorting and Degradation', 'Sulfur relay system'))]"
VF_0020,c1cds19,1746.54495445,2918.42256494,1492.63891708,2052.53547882,760.550723739,77.1992557978,560.242889062,193.401915475,276.948020112,252.126459558,1699.03182396,2617.27372172,1596.34458739,1970.88337769,562.140129129,2.851769,6.88843292436e-05,-0.772442,0.418788077557,2.079327,0.00427036955098,hypothetical protein,,
VF_0021,c1cds20,50.0807305903,66.7574692919,57.5675473813,58.1352490878,8.3528508517,29.0841494618,64.6146218486,48.4698938043,47.3895550383,17.7898557019,152.324169916,93.1710959313,79.4892751514,108.328180333,38.7108948424,0.469736,0.36730081248,0.02239,0.976269521524,0.492126,0.313349851133,LysR family transcriptional regulator,,
VF_0022,c1cds21,24.6834985348,25.3748200072,17.2746352503,22.4443179308,4.49040038384,14.3334232025,22.5381064685,30.0923950117,22.3213082275,7.88172247854,45.1413699855,44.6579025435,27.3366913071,39.0453212787,10.1428520176,0.190117,0.760496498479,0.005723,0.992616698128,0.19584,0.731721613956,hypothetical protein,,
